	Aracajú	Belém	Belo Horizonte	Boa Vista	Brasília	Campo Grande	Cuiabá	Curitiba	Florianópolis	Fortaleza	Goiânia	João Pessoa	Macapá	Maceió	Manaus	Natal	Palmas	Porto Alegre	Porto Velho	Recife	Rio Branco	R. Janeiro	Salvador	São Luis	São Paulo	Teresina	Vitória
Aracajú	0	1.641	1.248	3.022	1.292	2.155	2.121	2.061	2.207	815	1.461	486	1.967	201	2.673	604	1.235	2.580	2.946	398	3.359	1.482	277	1.226	1.731	903	1.102    x 
Belém	2.079	0	2.111	1.432	1.592	2.212	1.778	2.665	2.904	1.133	1.693	1.636	329	1.680	1.292	1.550	973	3.188	1.886	1.676	2.333	2.450	1.687	481	2.463	750	2.275    x
B. Horizonte x	1.578	2.824	0	3.117	624	1.118	1.372	820	973	1.893	666	1.726	2.349	1.439	2.556	1.831	1.178	1.341	2.477	1.639	2.786	339	964	1.932	489	1.652	378
Boa Vista  x 	6.000	6.083	4.736	0	2.496	2.667	2.107	3.370	3.620	2.562	2.503	3.067	1.110	3.089	661	2.983	1.988	3.785	1.335	3.103	1.626	3.428	3.009	1.913	3.300	2.169	3.394
Brasília   x 	1.652	2.120	716	4.275	0	878	873	1.081	1.314	1.687	173	1.716	1.791	1.485	1.932	1.775	620	1.619	1.900	1.657	2.246	933	1.060	1.524	873	1.313	947
C. Grande  x	2.765	2.942	1.453	3.836	1.134	0	559	780	1.007	2.547	705	2.593	2.309	2.352	2.013	2.654	1.320	1.119	1.634	2.530	1.827	1.212	1.905	2.284	894	2.132	1.490
Cuiabá	2.775	2.941	1.594	3.142	1.133	694	0	1.302	1.543	2.329	740	2.495	1.822	2.302	1.453	2.524	1.029	1.679	1.137	2.452	1.414	1.575	1.915	1.942	1.326	1.862	1.745     x
Curitiba   x	2.595	3.193	1.004	4.821	1.366	991	1.679	0	251	2.670	972	2.545	2.836	2.259	2.734	2.645	1.693	546	2.412	2.459	2.601	675	1.784	2.599	338	2.362	1.076
Florianópolis	2.892	3.500	1.301	5.128	1.673	1.298	1.986	300	0	2.857	1.215	2.693	3.082	2.402	2.981	2.802	1.931	376	2.641	2.603	2.809	748	1.930	2.821	489	2.573	1.160
Fortaleza	1.183	1.610	2.528	6.548	2.200	3.407	3.406	3.541	3.838	0	1.854	555	1.451	730	2.383	435	1.300	3.213	2.855	629	3.300	2.190	1.028	652	2.368	495	1.855
Goiânia	1.848	2.017	906	4.076	209	935	934	1.186	1.493	2.482	0	1.889	1.868	1.656	1.912	1.948	724	1.497	1.813	1.829	2.138	936	1.225	1.662	810	1.467	1.022     x
João Pessoa	611	2.161	2.171	6.593	2.245	3.357	3.366	3.188	3.485	688	2.442	0	1.964	299	2.819	151	1.521	3.066	3.200	104	3.632	1.968	763	1.162	2.216	905	1.581
Macapá	x	x	x	x	x	x	x	x	x	x	x	x	0	2.009	1.054	1.874	1.177	3.341	1.724	2.005	2.159	2.687	2.000	803	2.664	1.079	2.545    x
Maceió	294	2.173	1.854	6.279	1.930	3.040	3.049	2.871	3.168	1.075	2.125	395	x	0	2.778	434	1.383	2.775	3.090	202	3.510	1.671	475	1.234	1.928	929	1.282    x 
Manaus	5.215	5.298	3.951	785	3.490	3.051	2.357	4.036	4.443	5.763	3.291	5.808	x	5.491	0	2.765	1.509	3.132	761	2.833	1.149	2.849	2.605	1.746	2.689	1.921	2.865    x 
Natal	788	2.108	2.348	6.770	2.422	3.534	3.543	3.365	3.662	537	2.618	185	x	572	5.985	0	1.527	3.172	3.179	253	3.616	2.085	875	1.071	2.320	843	1.706    x 
Palmas	1.662	1.283	1.690	4.926	973	1.785	1.784	2.036	2.336	2.035	874	2.253	x	1.851	4.141	2.345	0	2.222	1.711	1.498	2.127	1.512	1.114	964	1.493	835	1.413    x 
Porto Alegre	3.296	3.852	1.712	5.348	2.027	1.518	2.206	711	476	4.242	1.847	3.889	x	3.572	4.563	4.066	2.747	0	2.706	2.977	2.814	1.123	2.303	3.142	852	2.909	1.536
Porto Velho	4.230	4.397	3.050	1.686	2.589	2.150	1.456	3.135	3.442	4.862	2.390	4.822	x	4.505	901	4.998	x	3.662	0	3.190	449	2.707	2.808	2.274	2.463	2.362	2.835
Recife	501	2.074	2.061	6.483	2.135	3.247	3.255	3.078	3.375	800	2.332	120	x	285	5.698	297	2.058	3.779	4.712	0	3.618	1.874	675	1.209	2.128	934	1.483     x
Rio Branco x	4.763	4.931	3.584	2.230	3.123	2.684	1.990	3.669	3.976	5.396	2.924	5.356	x	5.039	1.445	5.533	3.764	4.196	544	5.243	0	2.982	3.206	2.726	2.704	2.806	3.156
R. Janeiro x	1.855	3.250	434	5.159	1.148	1.444	2.017	852	1.144	2.805	1.338	2.448	x	2.131	4.374	2.625	2.124	1.553	3.473	2.338	4.007	0	1.209	2.266	357	1.979	412
Salvador   x	356	2.100	1.372	5.794	1.446	2.568	2.566	2.385	2.682	1.389	1.643	949	x	632	5.009	1.126	1.454	3.090	4.023	839	4.457	1.649	0	1.323	1.453	994	839
São Luis   x	1.578	806	2.738	6.120	2.157	2.979	2.978	3.230	3.537	1.070	2.054	1.660	x	1.672	5.335	1.607	1.386	3.891	4.434	1.573	4.968	3.015	1.599	0	2.348	329	2.023
São Paulo  x	2.187	2.933	586	4.756	1.015	1.014	1.614	408	705	3.127	926	2.770	x	2.453	3.971	2.947	1.776	1.109	3.070	2.660	3.604	429	1.962	2.970	0	2.091	741
Teresina   x 	1.142	947	2.302	6.052	1.789	2.911	2.910	3.143	3.450	634	1.986	1.224	x	1.236	5.267	1.171	1.401	3.804	4.366	1.137	4.900	2.579	1.163	446	2.792	0	1.713
